fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,SST
0.3413,0.0762,0.0674,0.0072,0.4804,0.0274,19.642391
0.3427,0.0851,0.0742,0.006,0.4574,0.0346,27.10581
0.3357,0.0793,0.0685,0.0101,0.477,0.0293,24.43499
0.3274,0.082,0.0749,0.0062,0.4784,0.0311,27.6356
0.3272,0.0776,0.0693,0.0075,0.4883,0.0301,19.9192
0.3135,0.0754,0.0637,0.011,0.5069,0.0294,24.74929
0.3251,0.0702,0.0576,0.014,0.5073,0.0258,24.22621
0.3134,0.0815,0.0733,0.0072,0.4908,0.0339,26.8087
0.3329,0.0805,0.0738,0.0111,0.4726,0.0291,25.663109
0.3131,0.0684,0.0579,0.0144,0.5216,0.0246,24.56511
0.3142,0.0702,0.0583,0.0124,0.5157,0.0291,24.22621
0.3368,0.0779,0.0718,0.0091,0.4736,0.0308,24.6187
0.3102,0.0802,0.0721,0.008,0.4944,0.035,26.897709
0.2957,0.0806,0.0734,0.0076,0.5073,0.0353,26.8799
0.2664,0.0732,0.0655,0.0155,0.5539,0.0254,23.65559
0.3451,0.0751,0.0692,0.0088,0.4698,0.0321,24.82759
0.3162,0.0822,0.0802,0.0082,0.4808,0.0323,27.802591
0.3381,0.0776,0.0738,0.0099,0.4704,0.0302,25.87011
0.3076,0.0823,0.0772,0.0078,0.4888,0.0364,27.8717
0.3144,0.0844,0.0815,0.0081,0.4764,0.0351,27.4542
0.3145,0.0813,0.0815,0.0078,0.4836,0.0312,21.260391
0.3173,0.0785,0.0759,0.0079,0.4876,0.0328,21.5201
0.3121,0.0806,0.0769,0.0082,0.4872,0.035,27.82461
0.3201,0.0763,0.0744,0.0077,0.4886,0.0329,20.8856
0.3309,0.0693,0.0657,0.0081,0.4953,0.0307,21.27429
0.314,0.077,0.078,0.008,0.4916,0.0314,21.27429
0.3088,0.075,0.0745,0.0079,0.5013,0.0325,21.10419
0.3225,0.0798,0.0785,0.0074,0.4752,0.0366,27.6348
0.3167,0.0783,0.0765,0.0089,0.4847,0.0349,21.260391
0.3296,0.0797,0.0796,0.0085,0.4682,0.0344,27.93541
0.2972,0.0815,0.0797,0.0101,0.4949,0.0367,27.8402
0.3389,0.0778,0.0765,0.0126,0.4624,0.0318,26.4747
0.3176,0.0737,0.0723,0.0078,0.494,0.0346,21.10419
0.2985,0.0751,0.0714,0.0113,0.5087,0.0351,20.30979
0.2911,0.0759,0.0732,0.0142,0.5139,0.0318,26.10841
0.3009,0.0741,0.0743,0.0124,0.5081,0.0302,27.693909
0.2959,0.0673,0.0659,0.0116,0.5305,0.0287,23.88171
0.2854,0.0516,0.0496,0.0133,0.5812,0.0189,19.4363
0.2958,0.0721,0.072,0.0135,0.5176,0.0289,27.693909
0.3429,0.0696,0.0654,0.0088,0.4751,0.0381,26.2461
0.3241,0.0813,0.0848,0.01,0.4627,0.0371,26.1533
0.2571,0.074,0.0754,0.0137,0.5483,0.0315,26.29159
0.1695,0.0709,0.0892,0.0113,0.6436,0.0157,24.58799
0.3037,0.0736,0.0781,0.0087,0.5005,0.0354,21.47101
0.2739,0.0812,0.0915,0.0084,0.5085,0.0365,27.5531
0.2987,0.0774,0.0816,0.0133,0.4918,0.0373,26.016409
0.2946,0.0728,0.0808,0.0081,0.5072,0.0364,22.5939
0.2884,0.0715,0.0768,0.0085,0.5167,0.038,22.45941
0.2628,0.0708,0.0743,0.0158,0.5438,0.0324,26.418709
0.2758,0.0678,0.0733,0.014,0.5384,0.0307,25.92979
0.2889,0.0728,0.0821,0.0091,0.5099,0.0373,22.91641
0.2723,0.0701,0.0783,0.0116,0.5336,0.034,23.88171
0.291,0.0743,0.0832,0.0112,0.5028,0.0375,23.93181
0.2723,0.0743,0.0804,0.0173,0.5192,0.0363,26.03319
0.3191,0.0734,0.0738,0.0164,0.4724,0.0447,26.366209
0.275,0.0652,0.0749,0.0116,0.5395,0.0339,25.759409
0.2721,0.0665,0.0771,0.0113,0.5377,0.0353,24.95691
0.2737,0.0661,0.0746,0.0109,0.5372,0.0375,26.500391
0.2596,0.073,0.0907,0.0098,0.5291,0.0378,27.50629
0.2828,0.0708,0.0856,0.0099,0.5122,0.0387,23.31591
0.242,0.0689,0.0672,0.0181,0.5573,0.0464,28.247591
0.2759,0.0677,0.0842,0.0104,0.5269,0.0349,25.78379
0.2343,0.0718,0.072,0.0195,0.5564,0.0459,28.28569
0.2617,0.0694,0.0823,0.0114,0.5358,0.0394,23.87431
0.2909,0.0713,0.0872,0.0114,0.5001,0.0391,25.73179
